,address,addressNumber,bikes,district,id,lat,lon,name,nearbyStations,slots,stationType,status,zip,Colonia
129,130 - Mérida-Durango,S/N,6,R-N,130,19.421576,-99.158015,130 MÉRIDA-DURANGO,"127,132,133",15,BIKE,OPN,,ROMA NORTE
130,131 - Colima-Jalapa,S/N,7,R-N,131,19.419579000000002,-99.161314,131 COLIMA-JALAPA,"129,134",11,BIKE,OPN,,ROMA NORTE
131,132 - Colima-Frontera,S/N,14,R-N,132,19.420667,-99.15645,132 COLIMA-FRONTERA,"130,133,135",10,BIKE,OPN,,ROMA NORTE
132,133 - Colima-Morelia,S/N,2,R-N,133,19.421138,-99.154725,133 COLIMA-MORELIA,"130,132,135",33,BIKE,OPN,,ROMA NORTE
133,134 - Álvaro Obregón-Orizaba,S/N,9,R-N,134,19.418304,-99.15956,134 ÁLVARO OBREGÓN-ORIZABA,"131,136,137",23,"BIKE,TPV",OPN,,ROMA NORTE
134,135 - Álvaro Obregón-Morelia,S/N,3,R-N,135,19.419225,-99.15509899999999,135 ÁLVARO OBREGÓN-MORELIA,"132,133,137",33,"BIKE,TPV",OPN,,ROMA NORTE
135,136 - Tonalá-Álvaro Obregón,S/N,16,R-N,136,19.417715,-99.162729,136 ÁLVARO OBREGÓN-TONALÁ,136,10,"BIKE,TPV",OPN,,ROMA NORTE
136,137 - Álvaro Obregón-Mérida,S/N,3,R-N,137,19.418774,-99.157081,137 ÁLVARO OBREGÓN-MÉRIDA,"132,135,138",24,BIKE,OPN,,ROMA NORTE
137,138 - Guanajuato-Frontera,S/N,11,R-N,138,19.417702,-99.155313,138 GUANAJUATO-FRONTERA,"135,140,144",13,BIKE,OPN,,ROMA NORTE
138,139 - Tonalá-Guanajuato,S/N,6,R-N,139,19.416128,-99.162097,E139 TONALÁ-GUANJUATO,"33,136,141,155",17,ELECTRIC_BIKE,OPN,,ROMA NORTE
139,140 - Mérida-Zacatecas,S/N,5,R-N,140,19.416605,-99.156853,140 MÉRIDA-ZACATECAS,"138,141,144",13,BIKE,OPN,,ROMA NORTE
140,141 - Zacatecas-Luis Cabrera,S/N,9,R-N,141,19.415905,-99.15954,141 ZACATECAS-LUIS CABRERA,"139,140,143",20,"BIKE,TPV",OPN,,ROMA NORTE
141,142 - San Luis Potosí-Eje 2 Pte. Monterrey,S/N,20,R-N,142,19.413232,-99.164121,142 SAN LUIS POTOSI-EJE 2 PTE. MONTERREY,"139,145,146",6,BIKE,OPN,,ROMA NORTE
142,143 - Córdoba-San Luis Potosí,S/N,3,R-N,143,19.414303,-99.157542,143 CÓRDOBA-SAN LUIS POTOSÍ,"141,144,147",18,BIKE,OPN,,ROMA NORTE
143,144 - Frontera-San Luis Potosí,S/N,4,R-N,144,19.415192,-99.154837,144 FRONTERA-SAN LUIS POTOSÍ,"140,143,148",23,BIKE,OPN,,ROMA NORTE
144,145 - Eje 2 Sur Yucatán-Chiapas,S/N,11,R-N,145,19.412860000000002,-99.160661,145 EJE 2 SUR YUCATÁN-CHIAPAS,"142,147,151",16,BIKE,OPN,,ROMA NORTE
145,146 - Coahuila-Manzanillo,S/N,23,R-N,146,19.410737,-99.165716,146 COAHUILA-MANZANILLO,"150,152,153",0,BIKE,OPN,,ROMA NORTE
146,147 - Coahuila-Orizaba,S/N,2,R-N,147,19.412182,-99.158443,147 COAHUILA-ORIZABA,"145,149,151",24,BIKE,OPN,,ROMA NORTE
147,148 - Coahuila-Av. Cuauhtémoc,S/N,17,R-N,148,19.412829000000002,-99.155116,148 COAHUILA-AV.CUAUHTEMOC,"143,147,149",7,BIKE,OPN,,ROMA NORTE
148,149 - Mérida-Antonio Anza,S/N,8,R-N,149,19.41199,-99.155699,149 MÉRIDA-ANTONIO ANZA,"143,147,148",25,BIKE,OPN,,ROMA NORTE
149,150 - Campeche-Medellín,S/N,7,1,150,19.409965,-99.164292,150 CAMPECHE-MEDELLÍN,"146,151,152",5,BIKE,OPN,,ROMA SUR
150,151 - Campeche-Tonalá,S/N,6,ROM,151,19.410529,-99.160873,151 CAMPECHE-TONALÁ,"145,147,155",21,BIKE,OPN,,ROMA SUR
151,152 - Tlacotalpan-Campecha,S/N,21,ROM,152,19.409098,-99.167181,152 TLACOTALPAN-CAMPECHE,"146,150,157",9,"BIKE,TPV",OPN,,ROMA SUR
152,153 - Manzanillo-Tlaxcala,S/N,2,ROM,153,19.407467999999998,-99.165141,153 MANZANILLO-TLAXCALA,"154,157,161",19,BIKE,OPN,,ROMA SUR
153,154 - Tuxpan-Tlaxcala,S/N,2,1,154,19.406682999999997,-99.167962,154 TUXPAN-TLAXCALA,"152,153,157",31,"BIKE,TPV",OPN,,ROMA SUR
154,155 - Jalapa-Tlaxcala,S/N,2,ROM,155,19.408217999999998,-99.159911,E155 JALAPA-TLAXCALA,"139,147,151",22,ELECTRIC_BIKE,OPN,,CENTRO URBANO BENITO JUAREZ
