,address,addressNumber,bikes,district,id,lat,lon,name,nearbyStations,slots,stationType,status,zip,Colonia
353,354 - Boston-Av. Insurgentes,S/N,20,NBU,354,19.381664999999998,-99.17668499999999,354 BOSTON-AV. INSURGENTES,"353,361,369",4,BIKE,OPN,3720,NOCHE BUENA
354,355 - California-Sacramento,S/N,10,ISB,355,19.38205,-99.173291,355 CALIFORNIA-SACRAMENTO,"345,361",11,BIKE,OPN,3100,INSURGENTES SAN BORJA
355,356 - Matias Romero -Adolfo Prieto,S/N,1,1,356,19.381292000000002,-99.170171,356 MATIAS ROMERO -ADOLFO PRIETO,"355,357,372",16,BIKE,OPN,3100,DEL VALLE CENTRO
356,357 - Matias Romero -Amores,S/N,9,DVC,357,19.380598000000003,-99.1669248,357 MATIAS ROMERO -AMORES,"356,358,373",15,BIKE,OPN,3100,DEL VALLE CENTRO
357,358 - Nicolas San Juan-Matias Romero,S/N,0,DVC,358,19.380167999999998,-99.164222,358 NICOLAS SAN JUAN-MATIAS ROMERO ,"357,360,373",24,BIKE,OPN,3100,DEL VALLE CENTRO
358,359 - Matias Romero -Pestallozzi,S/N,8,DVC,359,19.379269,-99.161169,359 MATIAS ROMERO -PESTALLOZZI,"342,360,374",25,"BIKE,TPV",OPN,3100,DEL VALLE CENTRO
359,360 - Heriberto Frías-Matias Romero,S/N,0,DVC,360,19.379027899999997,-99.1628259,E360 HERIBERTO FRÍAS-MATIAS ROMERO,"300,358,359,391",21,ELECTRIC_BIKE,OPN,3100,DEL VALLE CENTRO
360,361 - Porfirio Díaz-Capulín,S/N,16,1,361,19.380709,-99.17508000000001,361 PORFIRIO DÍAZ-CAPULÍN,"354,369,370",11,BIKE,OPN,3100,INSURGENTES SAN BORJA
361,362 - Augusto Rodin-Alberto Balderas,S/N,6,CDD,362,19.382207,-99.181043,362 AUGUSTO RODIN-ALBERTO BALDERAS,"367,368",15,BIKE,OPN,3710,CIUDAD DE LOS DEPORTES
362,363 - Holbein-Paulo Ucello,S/N,5,CDD,363,19.380813,-99.183851,363 HOLBEIN-PAULO UCELLO,"362,365,367",15,BIKE,OPN,3710,CIUDAD DE LOS DEPORTES
363,364 - Botichelli-Cda. De Giorgone,S/N,7,SMN,364,19.383063,-99.185858,364 BOTICHELLI-CDA. DE GIORGONE,"351,352,365",20,BIKE,OPN,3700,NONOALCO
364,365 - Holbein-Avenida Revolución,S/N,0,SMN,365,19.381117,-99.186687,365 HOLBEIN-AVENIDA REVOLUCIÓN,"352,363,364",30,BIKE,OPN,3700,NONOALCO
365,366 - Porfirio Díaz-Augusto Rodín,S/N,8,EXI,366,19.378345,-99.181973,366 PORFIRIO DÍAZ-AUGUSTO RODÍN,"362,367,368",16,BIKE,OPN,3740,EXTREMADURA INSURGENTES
366,367 - Boston -Augusto Rodín,S/N,4,NBU,367,19.37946,-99.181632,367 BOSTON -AUGUSTO RODÍN,"362,363,366",16,BIKE,OPN,3720,NOCHE BUENA
367,368 - Porfirio Díaz-Cincinatti,S/N,4,1,368,19.379246,-99.179344,368 PORFIRIO DÍAZ-CINCINATTI ,"366,367,369",20,BIKE,OPN,3740,EXTREMADURA INSURGENTES
368,369 - Porfirio Díaz-Av. Insurgentes,S/N,10,1,369,19.379884,-99.17747800000001,369 PORFIRIO DÍAZ-AV. INSURGENTES,"367,368",26,"BIKE,TPV",OPN,3740,EXTREMADURA INSURGENTES
369,370 - Tlacoquemecatl-Av. Insurgentes,S/N,7,TLA,370,19.378818,-99.177054,370 TLACOQUEMECATL-AV. INSURGENTES,"361,369,371",23,BIKE,OPN,3200,TLACOQUEMECATL
370,371 - Tlacoquemecatl-Capulin,S/N,10,TLA,371,19.378542000000003,-99.174328,371 TLACOQUEMECATL-CAPULIN,"361,369,370",11,BIKE,OPN,3200,TLACOQUEMECATL
371,372 - Dr. Roberto Gayol-Tlacoquemecatl,S/N,8,1,372,19.37797,-99.170289,372 DR. ROBERTO GAYOL-TLACOQUEMECATL,"373,378,379",13,"BIKE,TPV",OPN,3104,DEL VALLE SUR
372,373 - Pilares-Gabriel Mancera,S/N,0,DVC,373,19.377968,-99.166663,373 PILARES-GABRIEL MANCERA,"357,372,378",18,BIKE,OPN,3100,DEL VALLE SUR
373,374 - Anaxágoras-Pilares,S/N,10,DVC,374,19.376964,-99.161116,374 PITÁGORAS-PILARES,"359,375,376",19,"BIKE,TPV",OPN,3100,DEL VALLE CENTRO
374,375 - Tenayuca-División Del Norte,S/N,1,LEV,375,19.376865,-99.15881800000001,375 TENAYUCA-DIVISIÓN DEL NORTE,"359,374,376",23,BIKE,OPN,3650,LETRAN VALLE
375,376 - Pitágoras-Av. Universidad,S/N,2,LEV,376,19.375442,-99.16159499999999,376 PITÁGORAS-AV. UNIVERSIDAD,"374,375,377",25,BIKE,OPN,3650,LETRAN VALLE
376,377 - Heriberto Frías-Miguel Laurent,S/N,13,DVS,377,19.375394,-99.16375,377 HERIBERTO FRÍAS-MIGUEL LAURENT,"373,376,400",22,BIKE,OPN,3104,DEL VALLE SUR
377,378 - Miguel Laurent-Amores,S/N,1,DVS,378,19.375823,-99.168076,378 MIGUEL LAURENT-AMORES,"372,373,379",29,BIKE,OPN,3104,DEL VALLE SUR
378,379 - Dr. Roberto Gayol-Miguel Laurent,S/N,10,1,379,19.375751,-99.17084,379 DR. ROBERTO GAYOL-MIGUEL LAURENT,"378,380,395",26,BIKE,OPN,3104,DEL VALLE SUR
379,380 - Moras-San Lorenzo,S/N,2,TLA,380,19.374876,-99.173512,380 MORAS-SAN LORENZO,"392,393,394",25,BIKE,OPN,3200,TLACOQUEMECATL
380,381 - San Lorenzo-Manzanas,S/N,0,TLA,381,19.375541000000002,-99.177894,381 SAN LORENZO-MANZANAS,"382,387,389",27,BIKE,OPN,3200,TLACOQUEMECATL
381,382 - San Lorenzo-Av. Insurgentes,S/N,5,TLA,382,19.375591,-99.178084,382 SAN LORENZO-AV. INSURGENTES,"381,387,389",19,BIKE,OPN, 3200 ,TLACOQUEMECATL
382,383 - Luis Caracci-2da. Luis Caracci,S/N,3,EXI,383,19.375764,-99.181527,383 LUIS CARACCI-2DA. LUIS CARACCI,"366,382,387",12,BIKE,OPN,3740,EXTREMADURA INSURGENTES
383,384 - Empresa-Poussin,S/N,0,INM,384,19.375873000000002,-99.185583,384 EMPRESA-POUSSIN,"385,386,417",21,BIKE,OPN,3920,SAN JUAN
384,385 - Poussin-Empresa,S/N,0,INM,385,19.375651,-99.18558,385 POUSSIN-EMPRESA,"384,386,417",36,"BIKE,TPV",OPN,3920,SAN JUAN
385,386 - Poussin-Donatello,S/N,2,INM,386,19.37484,-99.185846,386 POUSSIN-DONATELLO,"384,385,417",34,BIKE,OPN,3920,INSURGENTES MIXCOAC
386,387 - Cadiz-Empresa,S/N,2,INM,387,19.37455556,-99.180505555556,387 CADIZ-EMPRESA,"381,382,383",14,BIKE,OPN,3920,EXTREMADURA INSURGENTES
387,388 - Valencia-Malaga,S/N,1,INM,388,19.373038,-99.18135500000001,388 VALENCIA-MALAGA,"387,389,390",20,BIKE,OPN,3920,INSURGENTES MIXCOAC
388,389 - Santander-Felix Cuevas,S/N,8,INM,389,19.373528,-99.179356,389 SANTANDER-FELIX CUEVAS,"388,390,391",28,BIKE,OPN,3920,INSURGENTES MIXCOAC
389,390 - Oso-Felix Cuevas,S/N,7,DVS,390,19.373228,-99.17826,390 OSO-FELIX CUEVAS,"389,391,416",29,"BIKE,TPV",OPN,3104,DEL VALLE SUR
390,391 - Oso-Felix Cuevas,S/N,7,DVS,391,19.373142,-99.178283,E391 OSO-FELIX CUEVAS,"390,416,434",14,ELECTRIC_BIKE,OPN,3104,DEL VALLE SUR
391,392 - Patricio Sanz-Felix Cuevas,S/N,4,TLA,392,19.373006699999998,-99.1747749,392 PATRICIO SANZ-FELIX CUEVAS,"380,393,394",17,BIKE,OPN,3200,TLACOQUEMECATL
392,393 - Adolfo Prieto-Felix Cuevas,S/N,2,TLA,393,19.372795999999997,-99.172558,393 ADOLFO PRIETO-FELIX CUEVAS,"380,392,394",34,"BIKE,TPV",OPN,3200,TLACOQUEMECATL
393,394 - Dr. Roberto Gayol-Felix Cuevas,S/N,0,DVS,394,19.372436999999998,-99.171592,394 DR. ROBERTO GAYOL-FELIX CUEVAS,"393,395,396",36,BIKE,OPN,3104,CENTRO URBANO PRESIDENTE ALEMAN
394,395 - San Lorenzo-Callejón Martín Menlalde,S/N,10,DVS,395,19.373742,-99.169814,395 SAN LORENZO-CALLEJÓN MARTÍN MENLALDE,"379,394,396",20,BIKE,OPN,3104,CENTRO URBANO PRESIDENTE ALEMAN
395,396 - Martín Menlalde-Felix Cuevas,S/N,1,DVS,396,19.371554,-99.170187,396 MARTÍN MENLALDE-FELIX CUEVAS,"394,395,413",19,BIKE,OPN,3104,DEL VALLE SUR
396,397 - San Lorenzo-Gabriel Mancera,S/N,5,DVS,397,19.373194,-99.167247,397 SAN LORENZO-GABRIEL MANCERA,"398,399,400",25,BIKE,OPN,3104,DEL VALLE SUR
397,398 - Sanchez Azcona-Felix Cuevas,S/N,5,DVS,398,19.371029999999998,-99.16566,398 SANCHEZ AZCONA-FELIX CUEVAS,"397,399,400",22,BIKE,OPN,3104,DEL VALLE SUR
398,399 - Heriberto Frías-San Lorenzo,S/N,9,DVS,399,19.372407,-99.164519,399 HERIBERTO FRÍAS-SAN LORENZO,"397,398,400",27,BIKE,OPN,3104,DEL VALLE SUR
399,400 - San Lorenzo-Heriberto Frias,S/N,4,DVS,400,19.3726458,-99.1642743,400 SAN LORENZO-HERIBERTO FRIAS,"397,398,399",26,BIKE,OPN,3104,DEL VALLE SUR
400,401 - San Lorenzo-Avenida Cuauhtemoc,S/N,9,SCA,401,19.372147000000002,-99.16158,401 SAN LORENZO-AVENIDA CUAUHTEMOC,"400,402,403",24,BIKE,OPN,3310,SANTA CRUZ ATOYAC
401,402 - Uxmal-Municipio Libre,S/N,3,1,402,19.370945199999998,-99.1587223,402 UXMAL-MUNICIPIO LIBRE,"401,403,405",26,"BIKE,TPV",OPN,3310,SANTA CRUZ ATOYAC
402,403 - Uxmal-Municipio Libre,S/N,1,SCA,403,19.371371,-99.15863900000001,403 UXMAL-MUNICIPIO LIBRE,"401,402,405",29,BIKE,OPN,3310,SANTA CRUZ ATOYAC
403,404 - Miguel Laurent-Avenida División Del Norte,S/N,9,LEV,404,19.373813000000002,-99.157387,404 MIGUEL LAURENT-AVENIDA DIVISIÓN DEL NORTE,"402,403,405",21,BIKE,OPN,3650,PORTALES NORTE
404,405 - División Del Norte-Municipio Libre,S/N,8,PON,405,19.370619,-99.156626,405 DIVISIÓN DEL NORTE-MUNICIPIO LIBRE,"402,403,404",22,BIKE,OPN,3303,PORTALES NORTE
405,406 - Parroquia Av. Mexico-Coyoacan,S/N,9,SCA,406,19.367831,-99.163261,406 PARROQUIA AV. MEXICO-COYOACAN,"402,407,411",12,BIKE,OPN,3310,SANTA CRUZ ATOYAC
406,407 - Prolongación Xochicalco-General Emiliano Zapat,S/N,2,REE,407,19.367294,-99.158694,407 PROL. XOCHICALCO-GENERAL EMILIANO ZAPATA,"406,408,410",19,BIKE,OPN,3320,FRACC RES EMPERADORES
407,408 - Prolongación Petén-General Emiliano Zapata,S/N,1,REE,408,19.366770000000002,-99.15684300000001,408 PROLONGACIÓN PETÉN-GENERAL EMILIANO ZAPATA,"407,409,410",26,BIKE,OPN,3320,FRACC RES EMPERADORES
408,409 - Azores-División Del Norte,S/N,12,SCA,409,19.365102,-99.155499,409 AZORES-DIVISIÓN DEL NORTE,"408,410,430",12,BIKE,OPN,3310,SANTA CRUZ ATOYAC
409,410 - Prolongación Tajín-Prolongación Repúblicas,S/N,5,SCA,410,19.36564,-99.158063,410 PROLONGACIÓN TAJÍN-PROLONGACIÓN REPÚBLICAS,"407,408,409",19,BIKE,OPN,3310,SANTA CRUZ ATOYAC
410,411 - Parroquia-Avenida México-Coyoacan,S/N,8,SCA,411,19.367864,-99.16362600000001,411 PARROQUIA-AVENIDA MÉXICO-COYOACAN,"412,425,427",28,BIKE,OPN,3310,SANTA CRUZ ATOYAC
411,412 - Parroquia-Avenida Universidad,S/N,15,SCA,412,19.3684182,-99.1654145,412 PARROQUIA-AVENIDA UNIVERSIDAD,"411,425,426",21,"BIKE,TPV",OPN,3310,SANTA CRUZ ATOYAC
412,413 - Parroquia-Avenida Coyoacán,S/N,0,DVS,413,19.369782,-99.171906,413 PARROQUIA-AVENIDA COYOACÁN,"396,414,424",36,BIKE,OPN,3104,CENTRO URBANO PRESIDENTE ALEMAN
413,414 - Parroquia-José Ignacio Bartolache,S/N,0,DVS,414,19.370186999999998,-99.173712,414 PARROQUIA-JOSÉ IGNACIO BARTOLACHE,"413,415,423",30,BIKE,OPN,3104,DEL VALLE SUR
414,415 - San Francisco-Parroquía,S/N,2,DVS,415,19.371498000000003,-99.17602,415 SAN FRANCISCO-PARROQUÍA,"391,414,416",28,BIKE,OPN,3104,DEL VALLE SUR
415,416 - Recreo-Parroquía,S/N,12,1,416,19.371308,-99.177607,416 RECREO-PARROQUÍA,"390,391,415",18,BIKE,OPN,3104,DEL VALLE SUR
416,417 - Goya-Augusto Rodín,S/N,0,INM,417,19.373262,-99.184333,417 GOYA-AUGUSTO RODÍN,"384,385,386",30,"BIKE,TPV",OPN,3920,INSURGENTES MIXCOAC
417,418 - Galicia-Actipan,S/N,1,INM,418,19.371152,-99.18303399999999,418 GALICIA-ACTIPAN,"388,417,419",35,BIKE,OPN,3920,INSURGENTES MIXCOAC
418,419 - Actipan-Cadiz,S/N,17,INM,419,19.370606,-99.18150200000001,419 ACTIPAN-CADIZ,"418,420,421",13,BIKE,OPN,3920,INSURGENTES MIXCOAC
419,420 - María Luz Bringas-Oso,S/N,4,ACT,420,19.369723,-99.17964,420 MARÍA LUZ BRINGAS-OSO,"418,419,421",2,BIKE,OPN,3230,ACTIPAN
420,421 - María Luz Bringas-Oso,S/N,6,ACT,421,19.369467,-99.179401,421 MARÍA LUZ BRINGAS-OSO,"419,420,422",24,BIKE,OPN,3230,ACTIPAN
421,422 - Bufalo-José María Rico (Eje 8),S/N,2,ACT,422,19.368356,-99.177487,422 BUFALO-JOSÉ MARÍA RICO (EJE 8),"421,423,436",19,BIKE,OPN,3230,ACTIPAN
422,423 - Moras-José María Rico (Eje 8),S/N,9,ACA,423,19.367631,-99.175342,423 MORAS-JOSÉ MARÍA RICO (EJE 8),"422,436,437",15,BIKE,OPN,3240,ACACIAS
423,424 - Amores-José María Rico (Eje 8),S/N,10,DVS,424,19.367207999999998,-99.17053100000001,424 AMORES-JOSÉ MARÍA RICO (EJE 8),"413,425,435",5,BIKE,OPN,3104,DEL VALLE SUR
424,425 - Nicolas San Juan-Avenida Universidad,S/N,10,DVS,425,19.367086999999998,-99.16741,425 NICOLAS SAN JUAN-AVENIDA UNIVERSIDAD,"411,412,426",26,BIKE,OPN,3104,DEL VALLE SUR
425,426 - Cerrada De Popocatepetl-Av. Popocatepetl (Eje,S/N,14,XOC,426,19.365519,-99.16601700000001,426 CERRADA DE POPOCATEPETL-AV. POPOCATEPETL (EJE ,"411,412,425",22,BIKE,OPN,3330,XOCO
426,427 - Avenida México-Coyoacan-Av. Popocatepetl (Eje,S/N,1,SCA,427,19.365023,-99.162993,427 AVENIDA MÉXICO-COYOACAN-AV. POPOCATEPETL (EJE ,"411,412,426",19,BIKE,OPN,3310,SANTA CRUZ ATOYAC
427,428 - Prolongación Uxmal-Av. Popocatepetl (Eje 8),S/N,0,GPM,428,19.363418,-99.160353,428 PROLONGACIÓN UXMAL-AV. POPOCATEPETL (EJE 8),"427,430,431",27,BIKE,OPN,3340,GRAL PEDRO MARIA ANAYA
428,429 - Pirineos-Av. Popocatepetl (Eje 8),S/N,0,SCA,429,19.363070999999998,-99.158292,429 PIRINEOS-AV. POPOCATEPETL (EJE 8),"428,430,431",21,BIKE,OPN,3310,SANTA CRUZ ATOYAC
429,430 - Tripoli-Av. Popocatepetl (Eje 8),S/N,9,SCA,430,19.362139000000003,-99.154974,430 TRIPOLI-AV. POPOCATEPETL (EJE 8),"409,429,431",21,BIKE,OPN,3310,SANTA CRUZ ATOYAC
430,431 - Bruno Traven-Paz Montes De Oca,S/N,7,GPM,431,19.36145,-99.15822,431 BRUNO TRAVEN-PAZ MONTES DE OCA,"428,429,430",14,BIKE,OPN,3340,GRAL PEDRO MARIA ANAYA
431,432 - Carrillo Pto-Golondrinas,S/N,4,GPM,432,19.361296,-99.162581,432 CARRILLO PUERTO-AV. MÉXICO-COYOACÁN,"442,443,444",31,BIKE,OPN,3340,GRAL PEDRO MARIA ANAYA
432,433 - Jose María Olloqui-Lopéz Costilla,S/N,12,DVS,433,19.363557999999998,-99.170819,433 JOSE MARÍA OLLOQUI-LOPÉZ COSTILLA,"434,435,439",9,BIKE,OPN,3104,DEL VALLE SUR
433,434 - Jose María Olloqui-Amores,S/N,7,DVS,434,19.363741,-99.17126800000001,E434 JOSE MARÍA OLLOQUI-AMORES,"391,433,435",17,ELECTRIC_BIKE,OPN,3104,ACACIAS
434,435 - Rodriguez Saro-Avenida Coyoacán,S/N,7,ACT,435,19.365154,-99.17290600000001,435 RODRIGUEZ SARO-AVENIDA COYOACÁN,"433,434,438",29,BIKE,OPN,3230,DEL VALLE SUR
435,436 - Rodriguez Saro-Bufallo,S/N,19,ACA,436,19.366217000000002,-99.177819,436 RODRIGUEZ SARO-BUFALLO,"422,423,437",11,BIKE,OPN,3240,ACTIPAN
436,437 - Moras-Comunal,S/N,1,1,437,19.36480833,-99.17602222,437 MORAS-COMUNAL,"423,436,438",20,BIKE,OPN,3240,ACACIAS
437,438 - Adolfo Prieto-José María Olloqui,S/N,7,1,438,19.36479722,-99.17458333,438 ADOLFO PRIETO-JOSÉ MARÍA OLLOQUI,"434,435,437",17,BIKE,OPN,3240,ACACIAS
438,439 - Amores-Avenida Coyoacán,S/N,11,ACA,439,19.36218889,-99.17246667,439 AMORES-AVENIDA COYOACÁN,"433,434,438",6,BIKE,OPN,3240,ACACIAS
439,440 - Real De Mayorazgo-Puente Xoco,S/N,0,1,440,19.36065,-99.168669,440 REAL DE MAYORAZGO-PUENTE XOCO,"433,439,441",36,BIKE,OPN,3330,XOCO
440,441 - Puente Xoco-Real De Mayorazgo,S/N,6,XOC,441,19.361214999999998,-99.167527,441 PUENTE XOCO-REAL DE MAYORAZGO,"433,440,442",30,BIKE,OPN,3330,XOCO
441,442 - Real De Mayorazgo-Avenida México-Coyoacan,S/N,7,XOC,442,19.359904999999998,-99.1653,442 REAL DE MAYORAZGO-AVENIDA MÉXICO-COYOACAN,"432,443,444",17,"BIKE,TPV",OPN,3330,XOCO
442,443 - Bruno Trave-Avenida México-Coyoacan,S/N,13,1,443,19.359655,-99.162025,443 BRUNO TRAVEN-GOLONDRINAS,"432,442,444",17,BIKE,OPN,3340,GRAL PEDRO MARIA ANAYA
443,444 - General Manuel Rincón-Agustín Gutierrez,S/N,4,GPM,444,19.359384,-99.159425,444 GENERAL MANUEL RINCÓN-AGUSTÍN GUTIERREZ,"431,432,443",14,BIKE,OPN,3340,GRAL PEDRO MARIA ANAYA
444,445 - Riff-Avenida Rio Churubusco,S/N,1,GPM,445,19.35827,-99.15610500000001,E445 RIFF-AVENIDA RIO CHURUBUSCO,"431,434,446",23,ELECTRIC_BIKE,OPN,3340,GRAL PEDRO MARIA ANAYA
445,446 - Riff-Avenida Rio Churubusco,S/N,14,GPM,446,19.3586,-99.156101,446 RIFF-AVENIDA RIO CHURUBUSCO,"431,444,445",20,"BIKE,TPV",OPN,3340,GRAL PEDRO MARIA ANAYA
446,447 AGUSTÍN MELGAR-ZAMORA,S/N,4,JUA,447,19.418858,-99.176776,447 AGUSTÍN MELGAR-ZAMORA,447,23,BIKE,OPN,,CONDESA
447,DR. ANDRADE ARCOS DE BELÉN,S/N,1,,448,19.426610999999998,-99.14447,448 DR. ANDRADE - ARCOS DE BELÉN,448,28,"BIKE,TPV",OPN,,DOCTORES
448,449 ACAPULCO-PUEBLA,S/N,4,JUA,449,19.42018,-99.17439300000001,E449 ACAPULCO-PUEBLA,"33,36,37,139",20,ELECTRIC_BIKE,OPN,,ROMA NORTE
449,450 RAMOS ARIZPE-PUENTE DE ALVARADO,S/N,0,TAB,450,19.43836,-99.152226,450 RAMOS ARIZPE-PUENTE DE ALVARADO,450,29,BIKE,OPN,,TABACALERA
450,451 CAMPOS ELÍSEOS-GOLDSMITH,S/N,24,POL,451,19.42902,-99.20132199999999,451 CAMPOS ELÍSEOS-GOLDSMITH,451,12,BIKE,OPN,,POLANCO CHAPULTEPEC
451,452 LEIBNITZ-AV. EJERCITO NACIONAL,S/N,9,2,452,19.435031,-99.179838,452 LEIBNITZ-AV. EJERCITO NACIONAL,452,9,BIKE,OPN,,ANZURES
452,453 PEDREGAL-TEAPA,S/N,10,MDR,453,19.424842,-99.203739,453 PEDREGAL-TEAPA,"455,456,458",23,BIKE,OPN,,MOLINO DEL REY
453,454 MONTES URALES-MONTE PELVOUX,S/N,23,LMV,454,19.425905,-99.204236,E454 MONTES URALES-MONTE PELVOUX,"453,455,456,457,458,459",1,ELECTRIC_BIKE,OPN,,LOMAS DE CHAPULTEPEC
454,455 PEDREGAL-FERROCARRIL DE CUERNAVACA,S/N,18,LMV,455,19.426308,-99.20330200000001,455 PEDREGAL-FERROCARRIL DE CUERNAVACA,"453,456,458",5,BIKE,OPN,,2DA SECC DEL BOSQUE DE CHAPULTEPEC
455,456 ALPES-MONTES ESCANDINAVOS,S/N,20,LCH,456,19.427517,-99.208412,456 ALPES-MONTES ESCANDINAVOS,"453,455,458",4,BIKE,OPN,,LOMAS DE CHAPULTEPEC
456,457 AV. PRADO NORTE-EXPLANADA,S/N,16,LCH,457,19.42703,-99.212845,E457 AV. PRADO NORTE-EXPLANADA,"454,456,459",8,ELECTRIC_BIKE,OPN,,LOMAS DE CHAPULTEPEC
457,458 MONTES URALES-VOLCÁN,S/N,13,LCI,458,19.428679000000002,-99.20660500000001,458 MONTES URALES-VOLCÁN,"453,455,456",11,BIKE,OPN,,LOMAS DE CHAPULTEPEC
458,459 VOLCÁN-MONTES URALES,S/N,23,LCI,459,19.429243,-99.207267,E459 VOLCÁN-MONTES URALES,"454,457,458",1,ELECTRIC_BIKE,OPN,,LOMAS DE CHAPULTEPEC
459,460 JUAN VÁZQUEZ DE MELLA-HOMERO,S/R,22,POL,460,19.437014,-99.207932,460 JUAN VÁZQUEZ DE MELLA-HOMERO,"198,209,240",10,BIKE,OPN,,LOS MORALES
460,461 PRESA DON MARTÍN-BOULEVARD MIGUEL DE CERVANTES,S/N,11,IRR,461,19.440106,-99.210031,461 PRESA DON MARTÍN-BOULEVARD MIGUEL DE CERVANTES,"197,240,460",16,BIKE,OPN,,IRRIGACION
461,462 PRESA FALCÓN-DANXHÓ,S/N,20,IRR,462,19.442338,-99.205198,462 PRESA FALCÓN-DANXHÓ,"197,240,463",2,BIKE,OPN,,IRRIGACION
462,463 LAGO ANDRÓMACO-LAGO ZURICH,S/N,10,1,463,19.442338,-99.202492,463 LAGO ANDRÓMACO-LAGO ZURICH,"197,242,462",16,BIKE,OPN,,AMPL GRANADA
463,464 MATEO ALEMÁN-PROLONGACIÓN MOLIERE ,S/N ,14,AMG,464,19.442421,-99.199838,E464 MATEO ALEMÁN-PROLONGACIÓN MOLIERE ,"241,242,463,467",9,ELECTRIC_BIKE,OPN,,AMPL GRANADA
464,465 LAGUNA DE GINEBRA-LAGO WETTER,S/N,16,CUP,465,19.445039,-99.194078,465 LAGUNA DE GINEBRA-LAGO WETTER,"243,244,466",9,BIKE,OPN,,CUAUHTEMOC PENSIL
465,466  LAGO ONEGA-LAGO LADOGA,S/N,9,ANH,466,19.44269,-99.19083,466  LAGO ONEGA-LAGO LADOGA,"243,244,465",15,BIKE,OPN,,ANAHUAC DOS LAGOS
466,467  LAGO MAYOR-LAGO ALBERTO,S/N,0,GRA,467,19.440399,-99.186784,E467  LAGO MAYOR-LAGO ALBERTO,"464,472,479",24,ELECTRIC_BIKE,OPN,,GRANADA
467,468 LAGO XOCHIMILCO-AV. EJÉRCITO NACIONAL,S/N,15,ANI,468,19.4366022,-99.1796833,468 LAGO XOCHIMILCO-AV. EJÉRCITO NACIONAL,"452,474,475",18,BIKE,OPN,,ANAHUAC
468,469BAHÍA DELA CONCEPCIÓN-BAHÍA DE TODOS LOS SANTOS,S/N,0,2,469,19.434182999999997,-99.173089,E469 BAHÍA DE LA CONCEPCIÓN-BAHÍA DE TODOS LOS SAN,"247,470,472",24,ELECTRIC_BIKE,OPN,,VERONICA ANZURES
469,470 BAHÍA DE LAS PALMAS-BAHÍA DE TODOS LOS SANTOS ,S/N,20,2,470,19.435039,-99.173879,470 BAHÍA DE LAS PALMAS-BAHÍA DE TODOS LOS SANTOS,"471,473",7,BIKE,OPN,,VERONICA ANZURES
470,471 BAHÍA DE CHACHALACAS-BAHÍA SANTA BÁRBARA ,S/N,11,2,471,19.436287,-99.174888,471 BAHÍA DE CHACHALACAS-BAHÍA SANTA BÁRBARA ,"470,473,474",13,BIKE,OPN,,VERONICA ANZURES
471,472 BAHÍA SANTA BÁRBARA-BAHÍA DE BALLENAS ,S/N,4,2,472,19.437667,-99.17711,E472 BAHÍA SANTA BÁRBARA-BAHÍA DE BALLENAS ,"247,469,471,473,474,479",20,ELECTRIC_BIKE,OPN,,VERONICA ANZURES
472,473 BAHÍA DEL ESPÍRITU SANTO-BAHÍA DE BANDERAS,S/N,9,2,473,19.438143,-99.17519,473 BAHÍA DEL ESPÍRITU SANTO-BAHÍA DE BANDERAS,"471,474,478",25,"BIKE,TPV",OPN,,VERONICA ANZURES
473,474 BAHÍA DE SAN HIPÓLITO-BAHÍA DEL ESPÍRITU SANTO,S/N,0,ANI,474,19.438984,-99.177549,474 BAHÍA DE SAN HIPÓLITO-BAHÍA DEL ESPÍRITU SANTO,"473,475,478",33,BIKE,OPN,,ANAHUAC
474,475 LAGO MURITZ-LAGO ALBERTO,S/N,13,ANI,475,19.439249,-99.181065,475 LAGO MURITZ-LAGO ALBERTO,"468,474,477",8,BIKE,OPN,,ANAHUAC
475,476 LAGO COMO-LAGUNA DE MAYRÁN,S/N,7,GRA,476,19.442127,-99.184433,476 LAGO COMO-LAGUNA DE MAYRÁN,"475,477",28,"BIKE,TPV",OPN,,GRANADA
476,477 LAGO ISEO-LAGUNA DE MAYRÁN ,S/N,19,ANI,477,19.440904999999997,-99.18174300000001,477 LAGO ISEO-LAGUNA DE MAYRÁN ,"475,476,478",5,BIKE,OPN,,ANAHUAC
477,478 LAGUNA DE MAYRÁN-LAGO CHALCO,S/N,5,ANI,478,19.440818,-99.176961,478 LAGUNA DE MAYRÁN-LAGO CHALCO,"473,474,477",21,BIKE,OPN,,ANAHUAC
478,479 LAGO MURITZ-AV.MARINA NACIONAL,S/N,2,AME,479,19.444433,-99.179664,E479 LAGO MURITZ-AV. MARINA NACIONAL,"467,469,472,476,477,478",22,ELECTRIC_BIKE,OPN,,ANAHUAC MARIANO ESCOBEDO
479,480 LAGO ISEO-AV. MARINA NACIONAL,S/N,4,AME,480,19.446073000000002,-99.18165400000001,480 LAGO ISEO-AV. MARINA NACIONAL,"476,477,478",11,BIKE,OPN,,ANAHUAC MARIANO ESCOBEDO
